id,ten_tool,ma_tool,nhom_tool,dong_tool,nha_san_xuat,ma_nha_sx,tieu_chuan,model,vat_lieu_phu_hop,ghi_chu,duong_kinh,chieu_dai_lam_viec,don_vi_tinh,tuoi_tho_chuan,ton_kho,muc_canh_bao,tu,ngan,may_uu_tien,ngay_nhap_kho,gia_tri_mua,wear_max,nguong_thay,hrc_tham_chieu,che_do_cat_khuyen_nghi,ket_luan_fuzzy,created_at,updated_at,can_coolant,diem_chat_luong_be_mat,diem_do_ben,diem_gia,diem_on_dinh,diem_san_co,diem_uu_tien_dung_truoc,do_cung_max,do_cung_min,duong_kinh_max,duong_kinh_min,loai_gia_cong,may_phu_hop,nhom_vat_lieu_iso,ty_le_sau_lo_max
,Khoan HSS Φ8 - giá rẻ,DRL-HSS-8-C45-BASIC,Mũi khoan,Drill,Totten,HSS-8-BASIC,DIN338,Jobber,C45,"Giải pháp kinh tế, tốc độ thấp",8,65,cái,800 lỗ,40,10,T1,A1,Line phụ trợ,1/10/2025,25000,100,75,20,"n=1200 rpm, f=0.10 mm/vòng",,,,FALSE,2,2,1,2,5,5,25,15,8.05,7.95,DRILL,Máy khoan bàn,P,4
,Khoan carbide Φ8 - cân bằng,DRL-CBD-8-C45-STD,Mũi khoan,Drill,YG-1,CBD-8-STD,DIN6539,Dream Drill,"C45, S45C",Khoan tốc độ trung bình,8,72,cái,2000 lỗ,20,5,T1,A2,Line 1,1/12/2025,180000,100,70,25,"n=2500 rpm, f=0.14 mm/vòng",,,,TRUE,4,4,3,4,4,3,32,20,8.01,7.97,DRILL,VMC 8000 rpm,P,6
,Khoan carbide Φ8 - cao cấp,DRL-CBD-8-C45-PREMIUM,Mũi khoan,Drill,OSG,ADF-8,DIN6539,ADF,"C45, SCM440","Tốc độ cao, bền, cần coolant tốt",8,80,cái,3500 lỗ,6,2,T1,A3,Line 2,1/14/2025,420000,100,65,30,"n=4000 rpm, f=0.20 mm/vòng",,,,TRUE,5,5,5,5,2,2,38,25,8.005,7.985,DRILL,"VMC 12000 rpm, áp suất coolant cao",P,8
,Endmill HSS Φ10 - giá rẻ,EM-HSS-10-S50C-BASIC,Dao phay ngón,Endmill,LocalBrand,HSS10-4F,,Standard,S50C,"Phay thô, chiều sâu cắt nhỏ",10,22,cái,80 m chiều dài cắt,25,5,T2,B1,Line 1,1/16/2025,90000,100,70,20,"Vc=80 m/ph, fz=0.04 mm/răng",,,,FALSE,3,2,1,2,5,4,28,18,10.05,9.95,MILL,VMC 6000 rpm,P,1.5
,Endmill carbide Φ10 - cân bằng,EM-CBD-10-S50C-STD,Dao phay ngón,Endmill,YG-1,E5620-10,TiAlN,General,"S50C, SCM440",,10,25,cái,180 m chiều dài cắt,12,3,T2,B2,Line 2,1/18/2025,260000,100,70,28,"Vc=160 m/ph, fz=0.05 mm/răng",,,,TRUE,4,4,3,4,4,3,35,22,10.02,9.98,MILL,VMC 8000 rpm,P,2
,Endmill carbide Φ10 - bề mặt đẹp,EM-CBD-10-S50C-FINISH,Dao phay ngón,Endmill,Mitsubishi,VPHB-10,AlCrN,Finisher,"S50C, SKD11 đã tôi","Ưu tiên bề mặt đẹp, lượng chạy nhỏ",10,20,cái,150 m chiều dài cắt (finishing),5,2,T2,B3,Line 3,1/20/2025,480000,100,60,50,"Vc=220 m/ph, fz=0.03 mm/răng",,,,TRUE,5,4,5,4,2,2,60,45,10.01,9.99,MILL,VMC 12000 rpm,H,1
,Taro M6 HSS - cơ bản,TAP-M6-HSS-BASIC,Mũi taro,Tap,Totten,M6-HSS,ISO,Hand tap,S45C,Taro tay hoặc tốc độ thấp,5,16,cái,600 ren,30,8,T3,C1,Line sửa chữa,1/11/2025,70000,100,70,20,"n=300 rpm, f=pitch=1 mm/vòng",,,,FALSE,3,2,1,2,5,5,28,15,5.1,4.9,TAP,Máy taro tay / khoan bàn,P,1.5
,Taro M6 spiral - cân bằng,TAP-M6-SP-STD,Mũi taro,Tap,Yamawa,SP-M6,ISO,SP,"S45C, SS400",Rigid tap lỗ kín,5,18,cái,1000 ren,15,5,T3,C2,Line 1,1/20/2025,180000,100,70,25,"n=800 rpm, f=pitch=1 mm/vòng",,,,TRUE,4,4,3,4,3,3,32,18,5.1,4.9,TAP,"VMC 8000 rpm, rigid tap",P,2
,Taro M6 spiral - cao cấp,TAP-M6-SP-PREMIUM,Mũi taro,Tap,OSG,EXO6-SP,ISO,EXO,"S45C, SCM440","Lớp phủ, bền cao",5,18,cái,1500 ren,8,3,T3,C3,Line 2,1/23/2025,260000,100,65,30,"n=900 rpm, f=pitch=1 mm/vòng",,,,TRUE,5,5,4,4,2,2,35,22,5.02,4.98,TAP,"VMC 10000 rpm, rigid tap",P,2.5
,Insert tiện ngoài CNMG - giá rẻ,TURN-CNMG-BASIC,Mảnh dao tiện,Insert,LocalBrand,CNMG120408-U,ISO,Universal,Thép carbon,Tiện thô,,,mảnh,25 phút cắt,60,20,T4,E1,Line tiện phụ,1/9/2025,30000,100,70,22,"Vc=180 m/ph, f=0.3 mm/v, ap=2.5 mm",,,,TRUE,2,2,1,2,5,5,30,18,,,TURN,CNC tiện 1500 rpm,P,
,Insert tiện ngoài CNMG - cân bằng,TURN-CNMG-STD,Mảnh dao tiện,Insert,Sumitomo,CNMG120408-MV,ISO,AC8025P,Thép P chung,,,,mảnh,40 phút cắt,40,10,T4,E2,Line tiện 1,1/15/2025,55000,100,70,25,"Vc=220 m/ph, f=0.25 mm/v, ap=2.0 mm",,,,TRUE,4,4,3,4,4,3,35,20,,,TURN,CNC tiện 2000 rpm,P,
,Insert tiện ngoài CNMG - bền cao,TURN-CNMG-PREMIUM,Mảnh dao tiện,Insert,Sandvik,CNMG120408-PM-GC4325,ISO,GC4325,"Thép carbon, SCM440","Ưu tiên tuổi bền, ổn định",,,mảnh,60 phút cắt,25,8,T4,E3,Line tiện 2,1/22/2025,75000,100,65,28,"Vc=240 m/ph, f=0.22 mm/v, ap=2.0 mm",,,,TRUE,4,5,4,5,3,2,38,22,,,TURN,CNC tiện 2500 rpm,P,
,Khoan HSS Φ5 - generic,DRL-HSS-05-GEN,Mũi khoan,Drill,Generic,HSS05,DIN338,Standard,Thép mềm,,5,60,cái,1000 lỗ,20,5,T1,A5,Line phụ trợ,1/5/2025,25000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,,,FALSE,3,3,2,3,4,4,28,15,5.05,4.95,DRILL,Máy khoan bàn,P,5
,Khoan HSS Φ6 - generic,DRL-HSS-06-GEN,Mũi khoan,Drill,Generic,HSS06,DIN338,Standard,Thép mềm,,6,60,cái,1000 lỗ,20,5,T1,A6,Line phụ trợ,1/6/2025,26000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,,,FALSE,3,3,2,3,4,4,28,15,6.05,5.95,DRILL,Máy khoan bàn,P,5
,Khoan HSS Φ7 - generic,DRL-HSS-07-GEN,Mũi khoan,Drill,Generic,HSS07,DIN338,Standard,Thép mềm,,7,60,cái,1000 lỗ,20,5,T1,A7,Line phụ trợ,1/7/2025,27000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,,,FALSE,3,3,2,3,4,4,28,15,7.05,6.95,DRILL,Máy khoan bàn,P,5
,Khoan HSS Φ8 - generic,DRL-HSS-08-GEN,Mũi khoan,Drill,Generic,HSS08,DIN338,Standard,Thép mềm,,8,60,cái,1000 lỗ,20,5,T1,A8,Line phụ trợ,1/8/2025,28000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,,,FALSE,3,3,2,3,4,4,28,15,8.05,7.95,DRILL,Máy khoan bàn,P,5
,Khoan HSS Φ9 - generic,DRL-HSS-09-GEN,Mũi khoan,Drill,Generic,HSS09,DIN338,Standard,Thép mềm,,9,60,cái,1000 lỗ,20,5,T1,A9,Line phụ trợ,1/9/2025,29000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,,,FALSE,3,3,2,3,4,4,28,15,9.05,8.95,DRILL,Máy khoan bàn,P,5
,Khoan HSS Φ10 - generic,DRL-HSS-10-GEN,Mũi khoan,Drill,Generic,HSS10,DIN338,Standard,Thép mềm,,10,60,cái,1000 lỗ,20,5,T1,A10,Line phụ trợ,1/10/2025,30000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,,,FALSE,3,3,2,3,4,4,28,15,10.05,9.95,DRILL,Máy khoan bàn,P,5
